"IFSI.SF";"SEXE";"NEC.ARRET";"ENV.ARRET";"CIG.JOUR";"STADE.1";"STADE.2";"SCORES"
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";10;"b-C";"b-C";-1,37670767474488
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";5;"a-PC";"a-PC";-2,97888519761287
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";15;"a-PC";"b-C";-4,31464915690201
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";15;"c-P";"c-P";-1,14344764131192
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";10;"b-C";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";4;"c-P";"b-C";-2,2759783654667
"IFSI";"H";"e-Tout a fait";"d-Plutot d'accord";4;"c-P";"b-C";2,66502737300807
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";0,5;"b-C";"b-C";-2,2759783654667
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"b-C";"b-C";-2,2759783654667
"SF";"F";"e-Tout a fait";"b-Plutot pas";10;"a-PC";"c-P";-1,53989920302634
"SF";"F";"e-Tout a fait";"d-Plutot d'accord";4;"b-C";"c-P";2,66502737300807
"SF";"F";"e-Tout a fait";"e-Tout a fait";2;"c-P";"b-C";-2,97888519761287
"SF";"F";"e-Tout a fait";"c-Entre les deux";20;"b-C";"b-C";-1,37670767474488
"SF";"F";"e-Tout a fait";"e-Tout a fait";15;"b-C";"a-PC";-2,36225523804499
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";2;"c-P";"c-P";2,66502737300807
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";18;"a-PC";"b-C";-5,1759054455613
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";5;"a-PC";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";2;"b-C";"c-P";2,66502737300807
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"a-PC";"b-C";-1,37670767474488
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";5;"b-C";"a-PC";-1,61899831094022
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";13;"a-PC";"a-PC";-1,53989920302634
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"b-C";"b-C";-2,2759783654667
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";10;"b-C";"c-P";-4,31464915690201
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";7;"b-C";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";4;"b-C";"b-C";-1,61899831094022
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";3;"b-C";"c-P";2,66502737300807
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";8;"a-PC";"e-M";-1,47573907638765
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";8;"c-P";"d-A";-1,61899831094022
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";10;"a-PC";"a-PC";-4,59903534275315
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";4;"c-P";"a-PC";2,66502737300807
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"b-C";"d-A";-1,77819821076708
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";10;"a-PC";"e-M";-1,20991648130308
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";8;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";25;"a-PC";"a-PC";-2,97888519761287
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";25;"a-PC";"b-C";-2,90419977548187
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";22;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";12;"a-PC";"b-C";-2,63233352282644
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";6;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";12;"a-PC";"d-A";-2,2759783654667
"IFSI";"H";"e-Tout a fait";"c-Entre les deux";13;"b-C";"c-P";-3,16919079491696
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";3;"b-C";"d-A";2,66502737300807
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";4;"a-PC";"a-PC";-3,29634007557855
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"b-C";"b-C";-1,30583113749182
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";10;"a-PC";"a-PC";-4,31464915690201
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";15;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";7;"b-C";"b-C";-2,97888519761287
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";12;"a-PC";"c-P";-1,14344764131192
"IFSI";"F";"e-Tout a fait";"a-Pas du tout";10;"a-PC";"a-PC";-1,14344764131192
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";8;"c-P";"e-M";-2,36225523804499
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";12;"b-C";"b-C";-1,47196368978849
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";20;"a-PC";"b-C";-3,16919079491696
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";12;"b-C";"a-PC";-3,16919079491696
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";3;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";13;"a-PC";"a-PC";-1,20991648130308
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";5;"b-C";"a-PC";-1,77819821076708
"IFSI";"H";"d-Plutot d'accord";"e-Tout a fait";2;"a-PC";"a-PC";-3,60809607315391
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";12;"b-C";"a-PC";-1,85876238798429
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"b-C";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";6;"b-C";"b-C";-1,37670767474488
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";20;"b-C";"b-C";-1,61899831094022
"IFSI";"F";"b-Plutot pas";"c-Entre les deux";10;"a-PC";"b-C";-3,35942440007168
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"b-C";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";3;"b-C";"b-C";-0,896493646813167
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"a-PC";"b-C";-1,61899831094022
"IFSI";"H";"d-Plutot d'accord";"e-Tout a fait";20;"b-C";"c-P";-2,97888519761287
"IFSI";"H";"c-Entre les deux";"c-Entre les deux";20;"a-PC";"a-PC";-2,97888519761287
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";10;"b-C";"b-C";-3,29634007557855
"IFSI";"H";"e-Tout a fait";"e-Tout a fait";20;"b-C";"b-C";-2,7992949536619
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";6;"b-C";"a-PC";-6,3796857
"IFSI";"H";"d-Plutot d'accord";"d-Plutot d'accord";5;"a-PC";"a-PC";-3,97717827976079
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";10;"a-PC";"b-C";-4,19167076781589
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";6;"b-C";"b-C";-2,01994579553125
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";5;"a-PC";"a-PC";-1,77819821076708
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";16;"a-PC";"a-PC";-2,36225523804499
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";10;"a-PC";"a-PC";-2,97888519761287
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";10;"a-PC";"b-C";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";3;"b-C";"b-C";-1,47196368978849
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";20;"a-PC";"a-PC";-4,31464915690201
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";15;"b-C";"a-PC";-4,31464915690201
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";8;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";10;"b-C";"b-C";-2,97888519761287
"IFSI";"H";"d-Plutot d'accord";"c-Entre les deux";15;"b-C";"b-C";-1,77819821076708
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";5;"b-C";"b-C";-1,53989920302634
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";2;"e-M";"b-C";-3,16919079491696
"IFSI";"H";"d-Plutot d'accord";"c-Entre les deux";10;"b-C";"a-PC";-1,77819821076708
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";6;"b-C";"b-C";-2,2759783654667
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";2;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";15;"b-C";"a-PC";-2,97888519761287
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";1;"a-PC";"a-PC";-3,16919079491696
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"b-C";"c-P";-2,2759783654667
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";5;"b-C";"b-C";-2,97888519761287
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";6;"a-PC";"a-PC";-6,3796857
